type=DAEMON_START msg=audit(1725544401.177:358): op=start ver=3.1.5 format=enriched kernel=6.1.129 auid=4294967295 pid=4891 uid=0 ses=4294967295 res=successAUID="unset" UID="root"
type=CONFIG_CHANGE msg=audit(1725544401.188:3): auid=4294967295 ses=4294967295 op=add_rule key="time-change" list=4 res=1AUID="unset"
type=SYSCALL msg=audit(1725544401.188:3): arch=c00000b7 syscall=206 success=yes exit=1068 a0=4 a1=ffffc033c2e0 a2=42c a3=0 items=0 ppid=4888 pid=4897 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm="auditctl" exe="/usr/sbin/auditctl" key=(null)ARCH=aarch64 SYSCALL=sendto AUID="unset" UID="root" GID="root" EUID="root" SUID="root" FSUID="root" EGID="root" SGID="root" FSGID="root"
type=PROCTITLE msg=audit(1725544401.188:3): proctitle=617564697463746C002D6100657869742C616C77617973002D530061646A74696D6578002D530073657474696D656F66646179002D5300636C6F636B5F61646A74696D65002D5300636C6F636B5F73657474696D65002D6B0074696D652D6368616E6765
type=CONFIG_CHANGE msg=audit(1725544401.188:4): auid=4294967295 ses=4294967295 op=add_rule key=(null) list=5 res=1AUID="unset"
type=SYSCALL msg=audit(1725544401.188:4): arch=c00000b7 syscall=206 success=yes exit=1056 a0=4 a1=ffffe3d67100 a2=420 a3=0 items=0 ppid=4888 pid=4899 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm="auditctl" exe="/usr/sbin/auditctl" key=(null)ARCH=aarch64 SYSCALL=sendto AUID="unset" UID="root" GID="root" EUID="root" SUID="root" FSUID="root" EGID="root" SGID="root" FSGID="root"
type=SOCKADDR msg=audit(1725544401.188:4): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 }
type=PROCTITLE msg=audit(1725544401.188:4): proctitle=617564697463746C002D61006578636C7564652C616C77617973002D46006D736774797065004E455446494C5445525F434647
type=CONFIG_CHANGE msg=audit(1725544401.192:5): auid=4294967295 ses=4294967295 op=add_rule key=(null) list=5 res=1AUID="unset"
type=SYSCALL msg=audit(1725544401.192:5): arch=c00000b7 syscall=206 success=yes exit=1056 a0=4 a1=ffffe0fc7790 a2=420 a3=0 items=0 ppid=4888 pid=4902 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm="auditctl" exe="/usr/sbin/auditctl" key=(null)ARCH=aarch64 SYSCALL=sendto AUID="unset" UID="root" GID="root" EUID="root" SUID="root" FSUID="root" EGID="root" SGID="root" FSGID="root"
type=SOCKADDR msg=audit(1725544401.192:5): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 }
type=CONFIG_CHANGE msg=audit(1725544401.192:6): auid=4294967295 ses=4294967295 op=add_rule key=(null) list=5 res=1AUID="unset"
type=SYSCALL msg=audit(1725544401.192:6): arch=c00000b7 syscall=206 success=yes exit=1056 a0=4 a1=ffffdb46bc70 a2=420 a3=0 items=0 ppid=4888 pid=4905 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm="auditctl" exe="/usr/sbin/auditctl" key=(null)ARCH=aarch64 SYSCALL=sendto AUID="unset" UID="root" GID="root" EUID="root" SUID="root" FSUID="root" EGID="root" SGID="root" FSGID="root"
type=SOCKADDR msg=audit(1725544401.192:6): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 }
type=CONFIG_CHANGE msg=audit(1725544401.196:7): op=set audit_enabled=2 old=1 auid=4294967295 ses=4294967295 res=1AUID="unset"
type=SYSCALL msg=audit(1725544401.196:7): arch=c00000b7 syscall=206 success=yes exit=60 a0=3 a1=ffffdcece060 a2=3c a3=0 items=0 ppid=4888 pid=4908 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm="auditctl" exe="/usr/sbin/auditctl" key=(null)ARCH=aarch64 SYSCALL=sendto AUID="unset" UID="root" GID="root" EUID="root" SUID="root" FSUID="root" EGID="root" SGID="root" FSGID="root"
type=SOCKADDR msg=audit(1725544401.196:7): saddr=100000000000000000000000SADDR={ saddr_fam=netlink nlnk-fam=16 nlnk-pid=0 }
type=ANOM_ABEND msg=audit(1725544413.444:8): auid=4294967295 uid=0 gid=0 ses=4294967295 pid=6332 comm="wwan-statusd" exe="/usr/sbin/wwan-statusd" sig=11 res=1AUID="unset" UID="root" GID="root"
type=USER_LOGIN msg=audit(1725544648.508:9): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544648.672:10): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544648.836:11): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.000:12): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.164:13): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.332:14): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.496:15): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.660:16): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.824:17): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544649.992:18): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.156:19): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.320:20): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.484:21): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.652:22): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="tmp" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.816:23): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544650.980:24): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544651.144:25): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.41 terminal=? res=failed'UID="admin" AUID="unset"
type=USER_LOGIN msg=audit(1725544651.308:26): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544651.476:27): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544651.640:28): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
type=USER_LOGIN msg=audit(1725544651.804:29): pid=5158 uid=0 auid=4294967295 ses=4294967295 msg='op=user-login acct="admin" exe="web" hostname=? addr=192.168.0.40 terminal=? res=failed'UID="root" AUID="unset"
